target	regulator	var.exp.median
Gm21887	Pknox1	0.7527464548515312
Huwe1	Nr2e3	0.6144361352385673
Rftn2	Nr4a1	0.6286903288954504
Cnr1	Maz	0.6495597068847794
Adamts5	Sox5	0.6032157051897624
Ncl	Rxrg	0.6190642344242221
Etfdh	Nr2f6	0.6290120068569964
Tgfb2	Sox5	0.6720044025781751
Tmem29	Sp7	0.6210637293029678
Uggt1	Hes2	0.6177121574250954
Bhlhb9	Nkx3-1	0.6141214831494677
Brcc3	Hinfp	0.6137339887033344
Pam	Foxo3	0.601998503731221
Cttnbp2	Rora	0.5483012773779374
Plxna4	Sox5	0.6854330422490742
Clk1	Foxo3	0.6203365358221108
Samd10	Nkx2-5	0.5877632975314874
Dkc1	Nhlh1	0.6082707256142623
Rps19	Pou3f1	0.7237741472856921
Tcea2	Zbtb7b	0.5978849243976853
Sec62	Jund	0.6245864258076239
Efna3	Myog	0.6105275785061288
Tnks2	Tcf7l2	0.5949747304436873
Plcb1	Tcf4	0.5602312509298566
Ralyl	Zfp3	0.6180641390686155
Maged1	Zic1	0.6071131629206235
Plppr5	Hoxd13	0.6135271651605816
Ogt	Hlf	0.6371135224611306
Zfp24	Arid5b	0.6013731377420108
Cab39	Gata6	0.5903804569829455
Ftsj1	Cebpa	0.6031108844700335
Cox7b	Foxi1	0.5894032736917829
Riok3	Hoxd9	0.7054154912770914
Rab39b	Arid3b	0.6029771347975024
Snca	Rfx6	0.5986024479187716
Cdh13	Cux1	0.5819729248061492
Snrpd1	Foxq1	0.5916240793536833
Ppid	Mzf1	0.5809209970021589
Khdrbs2	Barhl1	0.5709451795922722
Btrc	Nr5a1	0.6929024276002582
Uqcr10	XP_911724.4	0.6075642427426764
Fgf13	Zic5	0.5978623834149246
Gad2	Runx3	0.5781214517152349
Pcp4	Egr2	0.5763272233067855
Erbb4	Mecom	0.5907495136522942
Idh1	Mef2d	0.5712443473276236
Eml5	Egr2	0.6585411772395422
Dbpht2	Egr2	0.576901037720315
Ndufv3	Hes2	0.5809966010451577
Chl1	Stat3	0.5589359230759771
Ppp1r11	Rbpj	0.5802969019661489
Csf2ra	Nr2f2	0.5970310807824386
Snapin	Tcf7	0.6225182808850279
Hnrnpk	Zic1	0.8237086839231995
Cnr1	Rxrg	0.5899159329294043
Stmn3	Maff	0.5964755211135109
Ccdc120	Nfkb1	0.6294871833881972
Nolc1	Npas2	0.588404919982779
Rab33a	Foxi1	0.581913507807831
Pgrmc2	Hes7	0.5794988134926737
Uggt1	Nfkb1	0.6108516376924145
Mtcl1	Sox10	0.5860021646293487
Ndufb11	Tbx20	0.60650331092966
Mtcl1	Ehf	0.5828076670445177
Ldb1	Npas2	0.5921081584066799
Idh1	Trp73	0.5874178429989654
Rlim	Arx	0.5880389805799981
Vldlr	Hinfp	0.6083650565106677
Chic1	Nr4a1	0.6451838743617977
Gng2	Sox10	0.6564280300421108
Sox2	Hoxa10	0.5795402641432625
Atxn1	Hmg20b	0.7203628801211119
Dcx	Rarg	0.6509315667416643
Neurod2	Bhlhe22	0.6095086857868959
Krtcap2	Glis2	0.5827943690995679
Khdrbs2	Lhx2	0.6613347891022998
Zfand5	Nkx3-1	0.5622234792668452
Shtn1	Lhx2	0.575727657918261
D2hgdh	Atf7	0.5665915352669537
Etfdh	Zfp143	0.5837276753458053
Skil	Zbtb7a	0.5767627956918757
Tubb4a	Jdp2	0.6027718349193558
Tpd52l2	Figla	0.6286158859638311
Tmem176b	Sox5	0.5788603357101759
Rplp2	Pou3f1	0.5522675639061827
Nans	Gfi1b	0.5852748245607939
Rftn2	Hoxa10	0.5893308600656377
Spint2	Egr2	0.5536981209346371
Rpl23	Pou3f1	0.5402410288418922
Ccdc120	Spz1	0.6094421032049887
Ccdc120	Hoxc10	0.5670872397735593
Ebp	Hnf1b	0.5655318015009161
Rnd2	Sox5	0.5699967481311017
Flrt3	Egr2	0.7058149362047299
Arl4a	Nfia	0.5873132164917007
Mrpl43	Bhlhe41	0.5510015820832246
Tcea2	Foxd3	0.5632795835884711
Csf2ra	Crem	0.5944185170907055
Chpf	Dmrt1	0.5789924166336288
Lsamp	Hoxd13	0.5929174164075826
Mrpl14	Nfic	0.5554116640562794
Ilf2	Cebpe	0.5516258900540814
Celf3	Atf2	0.5738489964090483
Rsrc1	Dbx1	0.5438054852073149
Etfdh	Thap11	0.564826284550006
Gigyf2	Msgn1	0.5774933694367379
Pam	Mecp2	0.5613782353836947
Ubqln4	Hoxa10	0.5795729596176525
Cox5b	Etv4	0.5496866365887103
Dpm3	Batf	0.550477637686906
Eif3e	Pou3f1	0.5931545327917848
B3gat2	Maff	0.5565820115103474
Arx	Msgn1	0.5628855275619657
Mef2c	Dbp	0.5658935567216898
Supt3	Hoxb7	0.5696314440960023
Slit3	Tcf4	0.6601540516059781
Dpm3	Zic5	0.5951156953575054
Ndufv2	Terf2	0.5567072009465623
Skil	Crem	0.5573892368265234
Pja1	Isl1	0.5560282374885236
