target	regulator	var.exp.median
Grm7	Ehf	0.5710743495618193
Aff2	Cebpe	0.5344694716083779
Ptprr	Relb	0.5478304705391683
A930015D03Rik	Foxl1	0.5801233709413555
Pex5l	Creb5	0.5404923667641403
Pard3b	Hoxa10	0.5279693493850051
Gm44257	Ahctf1	0.6461221881185404
Npr3	Nr2f6	0.6348132608433007
Zim1	Yy1	0.5341206340062491
Gprin3	Relb	0.6781452512504398
Scn5a	Rfx1	0.5671931599784127
Nell2	Myog	0.5338855937743572
Trpm3	Nkx3-1	0.522809054174055
Plpp4	Atf1	0.5670513311383198
Zfpm2	Zfp57	0.6213487929476897
Zmat4	Foxj2	0.5830187203559353
Fmn1	Bcl6	0.5041952975642323
Ptprg	Rfx6	0.5446096407288572
Stk39	Smad3	0.6041782651961023
Klhl4	Relb	0.5321700465725006
Arhgap20	Hmx2	0.5577186481570575
Asic2	Twist2	0.7443522660897899
Smc2	Mef2d	0.5410331084528393
Fnip2	Bhlhe41	0.5372947987314127
Gm28376	Evx2	0.5125403601914736
Prkd1	Foxg1	0.5346249255288843
Cdkl5	E2f2	0.5221361352752204
Cadm2	Nr4a2	0.5977246403029528
Myrip	Zfp57	0.5472181983135985
Lsamp	Esrrb	0.5392597486576576
Ldlrad3	Hnf4g	0.5516074660388581
Olfm3	Ahctf1	0.5431054903933255
Tanc1	Otp	0.5490306195654762
Necab1	Klf15	0.5715178115823196
Xirp2	Mecp2	0.5227314077600964
Stambpl1	Gbx1	0.5435889091332147
Gm49127	Gata2	0.5633694038810524
Ust	Irf7	0.5592846367363393
Stac	Hoxc12	0.5937150417911735
Glra3	Hoxc11	0.531933759477618
Sema3a	Hmg20b	0.5127089214546536
Spon1	Klf9	0.6547357369449114
Pcdh15	Gata2	0.5947691944489515
Cort	Hoxc12	0.5689735241769518
Gm11417	Vsx2	0.5323353126198074
Bves	Ctcfl	0.5514561384592591
Dpysl3	Meis2	0.594587287886073
Hunk	Sox11	0.5514149590832751
Pcdh17	Bcl6b	0.76524118087513
Mapk10	Hoxc12	0.5721255179299607
Csmd1	Bach1	0.5655798880368988
Nmbr	Ikzf1	0.6600927875818495
Ankrd12	Mybl2	0.5740774012087633
Ncoa2	Foxo6	0.5147629949693835
Reln	Hoxb4	0.5594827875793996
Gsdme	Lyl1	0.5255920198544084
Hivep3	Arid5a	0.5132074848366337
Nrsn1	Pou6f1	0.5061454334059838
Fam135b	Foxj3	0.5077303093919133
Gm47033	Irf2	0.5658796795812717
9630002D21Rik	Irf4	0.5433620388862309
Lrp1b	Jun	0.510828993486229
Prkd1	Barx2	0.5237671065022315
Gabra1	Esrra	0.5266636164284955
Zswim5	Etv2	0.5677609515166256
Plxna4	Dmrtc2	0.5056045069337318
Sox6	Elf3	0.5481933668989145
Srrm4	Cebpd	0.5281680615404825
Kansl1l	Tef	0.5668508803586757
Ptprt	Ikzf1	0.5126475163196079
Rarb	Barhl2	0.5143196929086219
Nkain2	Sox5	0.5081523319022063
Pvalb	Cebpd	0.5549967110068513
Gm16183	Elk1	0.5406158847162611
Arhgap42	Bhlha15	0.501020283774575
Astn2	Rfx3	0.5036856411465642
Fam189a1	Setbp1	0.4953183715324812
Gm5093	Nfyc	0.559121782479638
Prkce	Egr2	0.5101622951332343
Robo2	Hoxc6	0.6367486450795328
Pantr1	Hoxc6	0.512891655737451
Gm28928	Cebpg	0.5776498248286671
Napepld	Cphx1	0.6047204122309666
Plcb1	Esrrg	0.4734338043548017
4930470O06Rik	Cebpa	0.4921659851021482
Dnm3	Foxc1	0.4826771736913711
Rerg	Tcf7l1	0.5467766929001106
Ptprk	Elf3	0.4722672114922806
Reln	En2	0.4916012242033858
Olfm3	Foxp2	0.4862588077162089
Vldlr	Rax	0.5472914985643189
Gabra4	Tcf7	0.5024008049618296
B3galt1	Cbfb	0.4990270955111098
Lrrc38	Cebpa	0.5334057520479442
Mgat5	Bcl6	0.537628507053839
Tanc1	Foxo1	0.5240202256061909
Sh3gl3	Hoxd11	0.7412193351793819
Kcnc1	Hmx1	0.6182050965234194
Fam135b	Hoxc12	0.5304052933042818
B230209E15Rik	Hoxa1	0.5637948769277262
Fxyd6	Zbtb7a	0.4893790894142471
Cux1	Cebpg	0.6207071016908423
Clec18a	Hoxc12	0.4948268580325639
Robo1	Hnf1b	0.6170418619784348
Myo5b	Cebpd	0.5131524876485325
Etv6	Irf4	0.6032954412375471
Kcnj3	Klf3	0.5322427213248206
Lhfpl3	Nkx2-9	0.5736641371012372
Barx2	Hoxa11	0.5063741760005549
Vwc2	Hoxa6	0.4961070521002254
Gm26848	Spi1	0.5579131607054335
Adamts6	Elf3	0.7267406964221104
Inpp4b	Irf7	0.5191239856818906
4930488N15Rik	Klf7	0.523728766176134
Pcsk5	Foxa1	0.5668770217474002
