target	regulator	var.exp.median
Emd	Sox1	0.7194380308506317
Grm3	Maff	0.7005264286791661
Dclk2	Hoxb7	0.7233798814960476
Pou3f3	Hoxb7	0.7069891435353783
Sox2	Tlx2	0.6963865126357969
Mrps21	Erg	0.7541311933700172
Klhl5	Tcf4	0.7886827302635744
Zfp397	Mef2d	0.7204189135964425
Tceal8	Hoxc6	0.7131064995467424
Clk1	Foxo1	0.7255735266942194
Nap1l3	Myog	0.7102914935146917
St8sia4	Maff	0.7719227635261172
Zfp518a	Zfp42	0.7311683442209276
Ndufc1	Rarb	0.7016317363737514
Tmem178	Lef1	0.7402567927910512
Ppp2r2b	Tcf4	0.7777594619406121
Pik3ca	Gm5294	0.6994200466261713
Mrgbp	Fos	0.7045009907549822
Cdc42se1	Lyl1	0.7412951059823755
Serp2	Rarb	0.6908759383817782
Nap1l3	Ptf1a	0.7003054608445411
Fsd1	Rbpjl	0.7066117656503834
Rsrc1	Pou3f2	0.6891740857107963
Ppp1r11	Rbpj	0.6998589751003468
Smarca2	Barhl1	0.7003281984201963
Ndufb11	Nfyb	0.6963082618923961
Dclk2	Hoxb8	0.6941556058347664
Skil	Prrx2	0.7005448265687348
Pex2	Nr5a1	0.7025301709967761
Fam168b	En2	0.7165931642258263
Cttnbp2	Rora	0.6405404238436716
Cab39	Gata6	0.7087964742080026
Limch1	Rora	0.6900313073813271
Dpm3	Arnt	0.6854880610922864
Fxyd6	Hoxd13	0.7107755455587473
Ndufb8	Gabpa	0.7530233922654006
Mrps21	Msx3	0.7299298250511101
Dcx	Hnf1a	0.7263537152726802
Tsn	Otx1	0.6968731496781015
Cd1d1	Nr1i3	0.6892357197389292
Oprl1	Foxo4	0.6779937918837035
Riok3	Uncx	0.7460511207867352
Got1	Pou3f1	0.6965642188271766
Zfx	Zic5	0.7330221856065748
Shtn1	Rorc	0.7346459620960266
Rps21	Foxk1	0.7689367095879822
Sec62	Zeb1	0.68621477271061
Erbb4	Rel	0.6919628501882142
Gabbr1	Mafk	0.6780088610126421
Rpl36	Rbpjl	0.7123499329324096
Shtn1	Bach2	0.7005649513288374
Pja2	Alx1	0.6910195092462417
Krtcap2	Ahr	0.6903830641531722
Lonrf2	Ddit3	0.6937123400045819
Rps14	Klf4	0.6808634539733603
Ogt	Hlf	0.6852622219082409
